timestamp,job_id,tree_id,candidate_id,quality_score,occupancy,sharpness,contrast,brightness,raw_predicted_class,raw_confidence,prototype_distance,prototype_z,energy,energy_z,combined_unknownness,threshold,decision_margin,open_set_rejected,consensus_status,final_species
2026-08-07T12:20:01.587101,4d8cc6fb-4335-4c08-bcb7-ae135266b861,1,3,0.8891,0.8471,4955.67,59.91,176.04,rubber,0.9289,0.099,-0.2242,-2.5596,0.5268,-0.2242,-0.5624,0.3382,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.589302,4d8cc6fb-4335-4c08-bcb7-ae135266b861,1,4,0.8607,0.7677,5192.96,61.69,176.8,rubber,0.9271,0.0983,-0.2283,-2.5646,0.5135,-0.2283,-0.5624,0.3341,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.590145,4d8cc6fb-4335-4c08-bcb7-ae135266b861,1,5,0.803,0.7249,3377.13,52.56,192.02,rubber,0.9149,0.1258,-0.055,-2.4739,0.7548,-0.055,-0.5624,0.5075,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.590145,4d8cc6fb-4335-4c08-bcb7-ae135266b861,2,4,0.8948,0.8437,5435.67,63.99,170.42,rubber,0.9299,0.0993,-0.2225,-2.5841,0.4616,-0.2225,-0.5624,0.3399,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.590691,4d8cc6fb-4335-4c08-bcb7-ae135266b861,2,5,0.8766,0.8066,5241.78,64.04,174.84,rubber,0.9391,0.0723,-0.3929,-2.6753,0.2189,-0.3929,-0.5624,0.1695,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.591212,4d8cc6fb-4335-4c08-bcb7-ae135266b861,2,6,0.8275,0.8326,3400.27,49.21,193.75,rubber,0.6502,0.5141,2.4014,-1.9445,2.1636,2.4014,-0.5624,2.9638,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.591212,4d8cc6fb-4335-4c08-bcb7-ae135266b861,4,6,0.8904,0.9173,4199.64,53.62,177.99,rubber,0.8815,0.2466,0.7096,-2.2628,1.3165,0.7096,-0.5624,1.272,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.591212,4d8cc6fb-4335-4c08-bcb7-ae135266b861,4,5,0.8608,0.8295,4019.42,53.33,176.2,rubber,0.9518,0.0541,-0.5084,-2.7406,0.0452,-0.5084,-0.5624,0.054,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.591212,4d8cc6fb-4335-4c08-bcb7-ae135266b861,4,3,0.8403,0.7315,2380.22,53.03,163.66,rubber,0.9527,0.075,-0.3759,-2.8197,-0.1651,-0.3759,-0.5624,0.1865,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.591212,4d8cc6fb-4335-4c08-bcb7-ae135266b861,7,5,0.7749,0.4005,6490.09,66.77,114.5,teak,0.6827,0.4289,1.8621,-1.8934,2.2994,1.8621,-0.5624,2.4245,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.591212,4d8cc6fb-4335-4c08-bcb7-ae135266b861,8,4,0.9698,0.9221,6251.21,67.96,129.97,rubber,0.8772,0.2677,0.843,-2.2182,1.4353,0.843,-0.5624,1.4054,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.591212,4d8cc6fb-4335-4c08-bcb7-ae135266b861,8,3,0.968,0.9659,4865.29,68.05,144.55,rubber,0.8768,0.2418,0.6789,-2.24,1.3772,0.6789,-0.5624,1.2413,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.591212,4d8cc6fb-4335-4c08-bcb7-ae135266b861,8,2,0.9541,0.9291,4341.19,69.56,145.39,rubber,0.8626,0.2582,0.7829,-2.2075,1.4636,0.7829,-0.5624,1.3454,True,open_set_rejected,Unknown / Unrecognized species
2026-08-07T12:20:01.593285,4d8cc6fb-4335-4c08-bcb7-ae135266b861,10,4,0.9735,0.9258,6479.01,68.59,127.98,rubber,0.7882,0.4075,1.7268,-2.0199,1.9628,1.7268,-0.5624,2.2892,True,open_set_rejected,Unknown / Unrecognized species
